Name, Operon, Challenge, WT
argQ,serV-argVYZQ,165.46,87.84
argQ,argQ,165.46,87.84
argR,argR,2695.97,6031.12
argS,argS,51.43,66.31
argT,argT-hisJQMP,43.39,17.28
argU,argU,551.54,527.02
argV,serV-argVYZQ,165.46,87.84
argW,argW,226.5,90.18
argX,argX-hisR-leuT-proM,55.15,0
argY,serV-argVYZQ,55.15,0
argZ,serV-argVYZQ,55.15,0
ariR,ymgA-ariR,95.43,0
ariR,ycgZ-ymgA-ariR-ymgC,95.43,0
arnA,arnBCADTEF,66.39,85.27
arnB,arnBCADTEF,48.43,65.26
arnC,arnBCADTEF,48.21,90.74
arnD,arnBCADTEF,38.13,45.55
arnF,arnBCADTEF,4641.88,5784.78
arnT,arnBCADTEF,30.83,61.37
aroA,serC-aroA,112.45,210.7
aroB,aroKB-damX-dam-rpe-gph-trpS,27.3,37.26
aroC,prmB-aroC-mepA-yfcAML,31.28,31.14
aroD,ydiNB-aroD,33.57,26.73
aroE,yrdD-rimN-aroE-yrdB,51.85,57.81
aroF,aroF-tyrA,59.48,94.73
aroG,aroG,64.53,102.77
aroH,aroH,105.46,264.85
aroK,aroKB-damX-dam-rpe-gph-trpS,16.27,38.87
aroL,aroL-yaiA-aroM,266.94,450.9
aroM,aroL-yaiA-aroM,68.9,89.78
aroM,yaiA-aroM,68.9,89.78
aroP,aroP,404.9,610.39
arpA,arpA,374.78,668
arpB_1,arpB_1B_2,122.93,113.91
arpB_2,arpB_1B_2,122.93,113.91
arrS,arrS,43453,41855.1
arsB,arsRBC,72.43,94.37
arsC,arsRBC,29.91,63.51
arsR,arsRBC,12,57.32
artI,artPIQM,156.65,27.72
artJ,artJ,17.41,36.96
artM,artPIQM,31.74,30.33
artP,artPIQM,52.43,120.61
artQ,artPIQM,17.77,18.87
ascB,ascFB,74.51,142.39
ascF,ascFB,17.48,27.83
ascG,ascG,42.01,53.52
asd,asd,46.16,104.15
aslA,aslA,64.11,73.52
aslB,aslB,20.62,21.89
asmA,asmA,45.81,58.37
asnA,asnA,205.28,381.42
asnB,asnB,43.36,24.37
asnC,asnC-mioC-mnmG,83.27,132.62
asnC,asnC-mioC,83.27,132.62
asnC,asnC,83.27,132.62
asnS,asnS,536.54,680.69
asnT,asnT,1396.98,1067.92
asnU,asnU,1229.34,355.97
asnV,asnV,1508.74,1245.9
asnW,asnW,1452.86,444.97
aspA,aspA-dcuA,836.36,127.08
aspA,aspA,836.36,127.08
aspC,aspC,89.14,96.54
aspS,aspS,40.72,57.22
aspT,aspT,9431.26,87.84
aspU,aspU,9210.65,351.35
aspV,aspV,7721.5,175.67
asr,asr,522.26,634.76
astA,astCADBE,24.62,6.53
astB,astCADBE,37.92,20.13
astC,astCADBE,38.26,27.7
astD,astCADBE,20.1,9.15
astE,astCADBE,26.3,20.94
astE,astE,26.3,20.94
atl,ybaZ,490.02,572.29
atoA,atoDAEB,0,10.39
atoB,atoDAEB,28.67,51.37
atoC,atoSC,49.03,82.96
atoD,atoDAEB,83.27,122.42
atoE,atoDAEB,38.52,76.68
atoS,atoSC,144.12,240.63
atpA,atpIBEFHAGDC,126.69,127.2
atpA,atpBEFHAGDC,126.69,127.2
atpB,atpIBEFHAGDC,202.97,248.66
atpB,atpBEFHAGDC,202.97,248.66
atpC,atpIBEFHAGDC,202.23,80.52
atpC,atpBEFHAGDC,202.23,80.52
atpC,atpC,202.23,80.52
atpD,atpBEFHAGDC,116.69,63.58
atpD,atpIBEFHAGDC,116.69,63.58
atpE,atpIBEFHAGDC,194.65,56.36
atpE,atpBEFHAGDC,194.65,56.36
atpF,atpIBEFHAGDC,234.43,57.44
atpF,atpBEFHAGDC,234.43,57.44
atpG,atpBEFHAGDC,68.81,39.14
atpG,atpIBEFHAGDC,68.81,39.14
atpH,atpIBEFHAGDC,71.58,38
atpH,atpBEFHAGDC,71.58,38
atpI,atpIBEFHAGDC,66.88,53.26
avtA,avtA,128.69,210.35
azoR,azoR,91.1,245.54
azuC,azuC,146.44,233.22
bacA,bacA,77.5,148.11
baeR,baeSR,123.35,196.45
baeR,mdtABCD-baeSR,123.35,196.45
baeS,mdtABCD-baeSR,18.15,48.17
baeS,baeSR,18.15,48.17
bamA,bamA,96,136.21
bamA,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,96,136.21
bamB,bamB-der,64.84,57.37
bamC,bamC,53.34,32.67
bamC,dapA-nlpB,53.34,32.67
bamD,bamD,563.94,916.46
bamE,smpA,111.76,197.76
barA,barA,56.99,122.66
basR,basRS,19.04,0
basS,basS,147.78,260.13
basS,basRS,147.78,260.13
bax,bax,154.43,196.76
bcp,bcp,243.45,244.12
bcr,bcr,912.84,1323.17
bcsA,bcsABZC,30.81,46.48
bcsB,bcsBZ,27.22,69.37
bcsB,bcsABZC,27.22,69.37
bcsC,bcsABZC,22,42.83
bcsE,bcsEFG,89.15,107.56
bcsF,bcsEFG,22.12,35.23
bcsG,bcsEFG,35.39,56.36
bcsQ,bcsQ,11.28,44.91
bcsZ,bcsABZC,0,6.11
bcsZ,bcsBZ,0,6.11
bdcA,bdcA,588.85,426.27
bdcR,bdcR,50.05,125.25
bdm,bdm-sra,39.32,31.31
betA,betA,17.79,20.24
betA,betIBA,17.79,20.24
betB,betIBA,25.95,27.55
betI,betIBA,72.22,34.51
betT,betT,60.55,83.13
bfd,bfd-bfr,21.78,69.37
bfr,bfr,997.16,524.63
bfr,bfd-bfr,997.16,524.63
bglA,bglA,47.19,75.15
bglB,bglGFB,27.05,57.44
bglF,bglGFB,330.16,522.21
bglG,bglGFB,20.3,32.32
bglH,bglH-yieLK,39.4,29.28
bglJ,yjjQ-bglJ,87.69,179.56
bglX,bglX,48.05,44.15
bhsA,bhsA,115.22,288.37
bhsA,ycfR,115.22,288.37
bioA,bioA,46.09,62.92
bioB,bioBFCD,77.51,110.45
bioC,bioBFCD,50.56,71.57
bioD,bioBFCD,93.96,129.68
bioF,bioBFCD,29.42,58.56
bioH,bioH,242.36,464.93
birA,murB-birA,35.17,133.03
bisC,bisC,47.31,60.85
blc,blc,580.56,1127.25
blr,blr,101.11,53.68
bolA,bolA,654.39,574.26
borD,borD,43.33,69.02
brnQ,brnQ-proY,64.35,40.99
bsmA,bsmA,1544.3,143.47
bssR,bssR,1017.47,457.94
bssS,bssS,333.08,79.57
btuB,btuB-murI,57.55,95.31
btuC,btuCED,30.3,55.16
btuD,btuCED,11.32,27.05
btuE,btuCED,38.47,36.76
btuF,mtn-btuF-yadS,42.42,84.44
btuR,yciK-btuR,64.67,91.55
cadA,cadBA,94.9,147.99
cadA,cadA,94.9,147.99
cadB,cadBA,31.81,55.73
cadC,cadC,204.2,180.18
caiA,caiTABCDE,3.72,11.83
caiB,caiTABCDE,13.95,16.66
caiC,caiCDE,27.33,56.58
caiC,caiTABCDE,27.33,56.58
caiD,caiCDE,5.4,25.81
caiD,caiTABCDE,5.4,25.81
caiE,caiTABCDE,582.05,1235.96
caiE,caiCDE,582.05,1235.96
caiE,caiE,582.05,1235.96
caiF,caiF,600.56,649.02
caiT,caiTABCDE,16.82,8.93
can,can,1697.45,3060.4
carA,carAB,7.39,41.2
carB,carB,34.27,69.27
carB,carAB,34.27,69.27
cas1,casDE-ygbTF,32.38,14.74
cas1,casABCDE12,32.38,14.74
cas2,casDE-ygbTF,0,0
cas2,ygbF,0,0
cas2,casABCDE12,0,0
cas3,cas3,35.03,58.33
casA,casABCDE12,28.14,49.3
casB,casABCDE12,8.79,28.01
casC,casABCDE12,73.89,142.45
casD,casABCDE12,62.92,90.18
casD,casDE-ygbTF,62.92,90.18
casE,casABCDE12,42.47,33.82
casE,casDE-ygbTF,42.47,33.82
cbl,cbl,290.27,384.05
cbpA,cbpAM,133.72,29.37
cbpM,cbpAM,333.08,663.09
cbrA,cbrA,39.88,57.16
cbrB,cbrBC,245.01,448.01
cbrB,cbrB,245.01,448.01
cbrC,cbrBC,14.44,11.5
cbrC,cbrC,14.44,11.5
cbtA,yeeRSTU-cbtA-yeeW,1291.03,1713.41
cca,htrG-cca,61.7,109.18
ccmA,ccmABCDEFGH,27.22,32.52
ccmA,napFDAGHBC-ccmABCDEFGH,27.22,32.52
ccmB,ccmABCDEFGH,6.41,20.4
ccmB,napFDAGHBC-ccmABCDEFGH,6.41,20.4
ccmC,ccmABCDEFGH,5.75,36.66
ccmC,napFDAGHBC-ccmABCDEFGH,5.75,36.66
ccmD,ccmABCDEFGH,0,0
ccmD,napFDAGHBC-ccmABCDEFGH,0,0
ccmE,napFDAGHBC-ccmABCDEFGH,35.39,42.27
ccmE,ccmABCDEFGH,35.39,42.27
ccmF,ccmABCDEFGH,2.18,13.92
ccmF,napFDAGHBC-ccmABCDEFGH,2.18,13.92
ccmG,ccmABCDEFGH,7.61,24.24
ccmG,napFDAGHBC-ccmABCDEFGH,7.61,24.24
ccmH,ccmH,84.69,109.19
ccmH,ccmABCDEFGH,84.69,109.19
ccmH,napFDAGHBC-ccmABCDEFGH,84.69,109.19
cdaR,cdaR,165.03,303.71
cdd,cdd,52.79,53.5
cdh,cdh,460.63,742.55
cdsA,cdsA,44.55,86.71
cedA,cedA,87.38,55.67
cfa,cfa,225.46,306.09
chaA,chaA,127.29,227.29
chaB,chaBC,18.38,29.28
chaC,chaC,781.03,1457.65
chaC,chaBC,781.03,1457.65
chbA,chbBCARFG,36.3,38.54
chbB,chbBCARFG,13.23,0
chbC,chbBCARFG,37.5,34.84
chbF,chbBCARFG,3.14,10
chbG,chbG,33.97,36.07
chbG,chbBCARFG,33.97,36.07
chbR,chbBCARFG,5.04,8.02
cheA,motAB-cheAW,25.93,37.86
cheB,tar-tap-cheRBYZ,8.09,12.88
cheR,tar-tap-cheRBYZ,9.86,86.41
cheW,cheW,25.28,40.26
cheW,motAB-cheAW,25.28,40.26
cheY,tar-tap-cheRBYZ,10.89,0
cheZ,tar-tap-cheRBYZ,0,0
chiA,chiA,97.74,155.66
chiP,ybfMN,51.31,52.88
cho,cho,28.69,106.63
chpA,relA-mazEF,353.9,362.33
chpA,mazEFG,353.9,362.33
chpB,chpSB,60.5,38.54
chpR,relA-mazEF,119.39,190.14
chpR,mazEFG,119.39,190.14
chpS,chpSB,16.85,80.52
cirA,cirA,104.47,227.49
citC,citCDEFXG,92.24,159.67
citD,citCDEFXG,57.2,22.77
citE,citCDEFXG,135.49,193.45
citF,citCDEFXG,30.47,26.47
citG,citCDEFXG,82.13,130.81
citT,citT,55.12,55.44
citX,citCDEFXG,161.56,306.32
clcA,clcA,17.92,38.05
clcB,clcB,489.89,887.81
cld,cld,34.63,75.84
clpA,clpA,218.22,65.35
clpB,clpB,87.44,65.69
clpP,clpPX,95.28,108.39
clpS,clpS,198.45,21.07
clpX,clpX-lon,153.22,68.96
clpX,clpPX,153.22,68.96
cls,cls-yciU,69.76,92.59
cmk,cmk-rpsA,130.38,148.32
cmoA,yecN-cmoAB,74.21,90.91
cmoB,yecN-cmoAB,74.28,132.21
cmr,cmr,20.67,0
cmtA,cmtBA-yggPFDC,0,0
cmtB,cmtBA-yggPFDC,19.13,15.23
cnu,cnu,58.98,31.31
coaA,coaA,250.08,412.49
coaD,kdtA-coaD,123.87,140.91
coaE,coaE-yacFG,102.58,65.35
cobB,nagK-cobB,23.3,9.28
cobC,leuS-lptE-holA-nadD-cobC,90.21,110.51
cobC,cobC,90.21,110.51
cobS,cobUST,5.71,0
cobT,cobT,11.8,50.1
cobT,cobUST,11.8,50.1
cobU,cobUST,7.78,12.39
codA,codBA,158.76,258.11
codB,codBA,16.85,21.47
cof,cof,124.45,189.94
copA,copA,49.16,21.6
corA,corA,290.27,170.69
cpdA,nudF-yqiB-cpdA-yqiA-parE,71.81,8.17
cpdB,cpdB,91.75,177.44
cpsB,wcaCDEF-gmd-dcI-nudD-wcaI-cspBGJ-wzxC,17.73,32.95
cpsG,wcaCDEF-gmd-dcI-nudD-wcaI-cspBGJ-wzxC,52.66,69.07
cpxA,cpxRA,136,196.9
cpxA,cpxA,136,196.9
cpxP,cpxP,915.48,1134
cpxR,cpxRA,85.06,116.11
crcB,crcB,243.31,634.08
creA,creABC,44.8,142.69
creA,creABCD,44.8,142.69
creB,creABCD,55.39,0
creB,creABC,55.39,0
creC,creABC,65.57,166.12
creC,creABCD,65.57,166.12
creD,creABCD,53.36,49.99
creD,creD,53.36,49.99
crl,crl,179.59,33.65
crp,crp,207.98,117.53
crr,crr,299.78,92.83
crr,ptsHI-crr,299.78,92.83
csdA,csdAE,42.26,39.26
csdE,csdAE,200.86,258.96
csdL,csdL,268.39,393.91
csgA,csgBAC,93.13,103.83
csgB,csgBAC,0,0
csgC,csgBAC,12.75,20.31
csgC,csgC,12.75,20.31
csgD,csgDEFG,0,31.17
csgE,csgDEFG,10.89,0
csgF,csgDEFG,20.37,32.44
csgG,csgG,35.64,81.1
csgG,csgDEFG,35.64,81.1
csiD,csiD-ygaF-gabDTP,4.34,20.75
csiE,csiE,202.23,300.95
csiR,csiR,26518.6,11802.9
cspA,cspA,1674.8,95.26
cspB,cspB,98.31,31.31
cspC,cspC,1152.71,128.83
cspC,yobF-cspC,1152.71,128.83
cspD,cspD,2302.72,811.62
cspE,cspE,7846.52,354.28
cspF,cspF,498.45,857.34
cspG,cspG,139.57,63.51
cspH,cspH,199.38,539.81
cspI,cspI,79.75,0
csrA,csrA,1301.45,1054.52
csrB,csrB,69054.1,22288.3
csrD,csrD,54.7,90.6
cstA,cstA,70.58,44.96
cueO,cueO,5.48,30.53
cueR,cueR,1498.88,2188.18
curA,curA,85.92,149.87
cusA,cusCFBA,31.07,30.12
cusB,cusCFBA,20.82,44.21
cusC,cusCFBA,49.45,118.14
cusF,cusCFBA,38.26,20.31
cusR,cusRS,12.42,39.55
cusS,cusRS,88.29,131.24
cutA,cutA,25.06,59.85
cutC,cutC,96.65,9.05
cvpA,cvpA-purF-ubiX,17.37,27.66
cvrA,cvrA,83.13,124.6
cyaA,cyaA,268.45,382.39
cyaR,cyaR,1659.68,155.48
cyaY,cyaY,555.66,589.96
cybB,cybB,87.98,140.11
cybC,cybC,371.31,628.3
cycA,cycA,39.07,43.08
cydA,cydAB,94.73,25.86
cydB,cydAB,63.33,23.73
cydC,cydDC,41.93,43.2
cydC,cydC,41.93,43.2
cydD,cydDC,21.63,53.59
cynR,cynR,80.22,105.21
cynS,cynTSX,45.08,71.8
cynS,cynTS,45.08,71.8
cynT,cynTS,135.13,225.45
cynT,cynTSX,135.13,225.45
cynX,cynTSX,279.44,433.33
cyoA,cyoABCDE,76.16,49.94
cyoB,cyoABCDE,61.83,50.93
cyoC,cyoABCDE,55.24,32.99
