Name, Operon, Challenge, WT
dsbC,dsbC,41.81,38.05
dsbC,dsbC-recJ-prfB,41.81,38.05
dsbC,xerD-dsbC-recJ,41.81,38.05
dsbG,dsbG,181.93,217.3
dsdA,dsdA,63.91,66.16
dsdA,dsdXA,63.91,66.16
dsdC,dsdC,13.61,50.58
dsdX,dsdXA,66.65,101.1
dsrA,dsrA,26652.5,36227.4
dsrB,dsrB,179.76,35.79
dtd,yihXY-dtd-yiiD,38.78,15.44
dtpB,dtpB,46.22,78.22
dtpD,dtpD,48.72,114.09
dusA,dusA,25.66,6.81
dusB,dusB-fis,43.96,112.02
dusC,dusC,22.4,28.54
dut,dut-slmA,18.63,29.66
dxr,dxr,149.01,146.91
dxs,xseB-ispA-dxs-yajO,690.71,1158.1
eaeH,eaeH-insE-1F-1-insEF-1,19.48,46.54
eamA,eamA,51.91,52.6
eamB,yfiK,794.47,609.63
ebgA,ebgAC,59.04,107.15
ebgC,ebgAC,66.06,30.06
ebgR,ebgR,47.47,123.72
ecnA,ecnAB,674.1,1180.92
ecnB,ecnAB,808.92,92.02
ecnB,ecnB,808.92,92.02
eco,eco,130.27,55.32
ecpD,ecpD-htrE,85.97,54.76
eda,eda,19.84,10.54
eda,edd-eda,19.84,10.54
edd,edd-eda,16.41,18.66
efeB,efeOB,133.55,127.61
efeO,efeOB,26.35,83.94
efeU_1,efeU_1U_2,20.47,57.04
efp,efp,644.14,1085.5
elaA,elaA,9.19,43.92
elaB,elaB,249.81,0
elaD,elaD,38.54,61.38
elbB,elbB-mtgA,64.94,82.73
elfA,elfA,699.94,951.9
elfC,elfDCG-ycbUVF,52.25,104.01
elfD,elfDCG-ycbUVF,66.55,154.15
elfG,elfDCG-ycbUVF,51.55,126.3
emrA,emrRAB,43.45,63.43
emrB,emrRAB,57.95,123.05
emrD,emrD,78.84,51.37
emrE,emrE,25.51,0
emrE,renD-emrE,25.51,0
emrK,emrKY,29.19,34.86
emrY,emrKY,8.28,17.58
emrY,emrY,8.28,17.58
emtA,emtA,20.82,11.05
endA,endA,35.99,66.87
eno,pyrG-eno,241.93,72.89
eno,eno,241.93,72.89
entA,entCEBA-ybdB,250.15,380.28
entB,entCEBA-ybdB,4.95,31.53
entC,entCEBA-ybdB,25.28,17.25
entD,entD,82.06,54.46
entD,fepA-entD,82.06,54.46
entE,entCEBA-ybdB,58,71.37
entF,fes-ybdZ-entF-fepE,37.2,55.75
entH,entCEBA-ybdB,41.03,98.02
entH,entH,41.03,98.02
entS,entS,13.58,16.22
envC,gpmM-envC-yibQ,26.96,16.1
envR,envR,179.35,438.66
envY,envY-ompT,217.36,266.28
envZ,ompR-envZ,106.72,289.93
epd,epd-pgk,253.98,311.65
epd,epd-pgk-fbaA,253.98,311.65
eptA,eptA,56.83,90.51
eptB,eptB,55.22,75.95
era,rnc-era-recO-pdxJ-acpS,14.06,37.33
era,rnc-era,14.06,37.33
erfK,erfK,191.18,289.97
erpA,erpA,233.88,352.88
essD,essD-ybcS-rzpD,78.64,281.81
essQ,essQ-ydfRQP,0,0
etk,gfcE-etp-etk,171.35,303.91
etk,etk,171.35,303.91
etp,gfcE-etp-etk,85.51,136.18
eutA,eutHA,30.25,33.72
eutB,eutBCLKR,3539.02,5581.6
eutC,eutBCLKR,57.39,53.32
eutD,eutSPQTDM,8.35,46.55
eutE,eutNEJG,30.25,28.9
eutG,eutNEJG,14.3,17.08
eutH,eutHA,20.77,49.61
eutJ,eutNEJG,0,16.16
eutK,eutBCLKR,67.81,121.5
eutL,eutBCLKR,64.35,112.72
eutM,eutSPQTDM,173.34,207.05
eutN,eutNEJG,0,0
eutP,eutSPQTDM,8.85,14.09
eutQ,eutSPQTDM,18.15,9.63
eutR,eutBCLKR,185.52,314.73
eutS,eutSPQTDM,12.64,20.13
eutT,eutSPQTDM,21.13,16.82
evgA,evgAS,103.58,76.98
evgS,evgAS,64.99,101.62
exbB,exbBD,28.89,73.62
exbD,exbD,69.78,63.51
exbD,exbBD,69.78,63.51
exoX,yobB-exoX,365.11,408.05
exuR,exuR,185.83,304.66
exuT,exuT,221.47,247.85
fabA,fabA,1792.01,1941.73
fabB,fabB,97.39,83.09
fabD,fabHDG,45.66,21.82
fabD,rpmF-plsX-fabHDG,45.66,21.82
fabD,fabDG-acpP,45.66,21.82
fabD,plsX-fabHDG,45.66,21.82
fabF,acpP-fabF,106,87.13
fabG,rpmF-plsX-fabHDG,144.45,36.81
fabG,fabDG-acpP,144.45,36.81
fabG,fabG-acpP,144.45,36.81
fabG,plsX-fabHDG,144.45,36.81
fabG,fabHDG,144.45,36.81
fabH,rpmF-plsX-fabHDG,138,99.25
fabH,plsX-fabHDG,138,99.25
fabH,fabHDG,138,99.25
fabI,fabI,177.62,240.02
fabR,fabR-yijD,229.38,250.5
fabZ,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,37.25,14.83
fabZ,fabZ,37.25,14.83
fabZ,hlpA-lpxD-fabZ-lpxA,37.25,14.83
fadA,fadBA,175.13,139.45
fadB,fadBA,52.36,33.97
fadD,fadD-sroD,60.45,44.13
fadE,fadE,53.85,24.9
fadH,fadH,63.1,77.05
fadI,fadIJ,38.87,30.95
fadJ,fadIJ,41.58,44.14
fadK,ydiQRST-fadK,146.98,221.75
fadL,fadL,85.51,95.83
fadM,fadM,319.31,661.09
fadR,fadR,277.22,338.17
fbaA,pgk-fbaA,216.27,118.99
fbaA,epd-pgk-fbaA,216.27,118.99
fbaB,fbaB,205.69,134.88
fbp,fbp,582.4,555.16
fcl,wcaCDEF-gmd-dcI-nudD-wcaI-cspBGJ-wzxC,13.19,49.01
fdhD,fdhD,15.28,16.22
fdhE,fdhE,136.99,239.99
fdhE,fdoGHI-fdhE,136.99,239.99
fdhF,fdhF,45.47,100.76
fdnG,fdnGHI,8.36,13.31
fdnH,fdnGHI,14.4,53.5
fdnI,fdnGHI,90.91,51.71
fdoG,fdoGHI-fdhE,82.12,48.77
fdoH,fdoGHI-fdhE,108.17,134.82
fdoI,fdoGHI-fdhE,26.71,31.9
fdrA,fdrA-ylbE_1E_2F-ybcF,10.18,20.27
fdx,hscBA-fdx-iscX,50.56,281.81
feaB,feaB,19.82,18.04
feaR,feaR,23.44,52.26
fecA,fecABCDE,14.61,46.54
fecB,fecABCDE,103.47,194.74
fecC,fecABCDE,25.51,54.16
fecD,fecABCDE,17.75,28.27
fecE,fecABCDE,88.48,167.33
fecE,fecE,88.48,167.33
fecI,fecIR,32.54,77.74
fecR,fecIR,26.71,56.72
feoA,feoABC,93.13,88.99
feoB,feoABC,34.75,40.78
feoC,feoABC,125.43,28.54
feoC,yhgG,125.43,28.54
fepA,fepA-entD,56.85,57.34
fepB,fepB,22.19,42.4
fepC,fepDGC,0,8.29
fepD,fepDGC,4.23,67.3
fepE,fes-ybdZ-entF-fepE,14.98,77.54
fepG,fepDGC,51.32,115.79
fes,fes-ybdZ-entF-fepE,22.65,84.17
ffh,ffh,43.65,34.76
ffs,ffs,64521.9,1542.55
fhlA,hypABCDE-fhlA,46.98,71.57
fhlA,hypBCDE-fhlA,46.98,71.57
fhuA,fhuACDB,132.48,229.07
fhuB,fhuACDB,77.1,126.2
fhuC,fhuACDB,21.29,25.43
fhuD,fhuACDB,0,15.18
fhuE,fhuE,69.81,216.18
fhuF,fhuF,75.36,102.87
fic,yhfG-fic-pabA,56.34,11.22
fic,fic,56.34,11.22
fieF,fieF,56.44,37.45
fimA,fimAICDFGH,239.8,12.32
fimB,fimB,21.13,11.22
fimC,fimAICDFGH,35.1,0
fimD,fimAICDFGH,25.77,64.12
fimE,fimE,56.91,33.99
fimF,fimAICDFGH,8,25.47
fimG,fimAICDFGH,50.56,40.26
fimH,fimAICDFGH,98.76,194.74
fimI,fimAICDFGH,47.19,100.2
fimZ,fimZ,13.42,21.37
fis,dusB-fis,0,45.55
fiu,fiu,74.41,162.94
fixA,fixABCX,11.02,43.86
fixB,fixABCX,27.05,28.72
fixC,fixABCX,16.5,36.79
fixX,fixABCX,29.49,23.48
fklB,fklB,294.06,479.22
fkpA,fkpA,214.17,457.55
fkpB,ribF-ileS-lspA-fkpB-ispH,0,0
fkpB,lsp-fkpB-ispH,0,0
fkpB,ileS-lspA-fkpB-ispH,0,0
fldA,fldA-fur,63.98,76.42
fldB,fldB,1057.64,2578.41
flgA,flgAMN,38.61,51.24
flgB,flgBCDEFGHIJ,10.18,0
flgC,flgBCDEFGHIJ,20.97,66.8
flgD,flgBCDEFGHIJ,36.61,77.74
flgE,flgBCDEFGHIJ,73.77,139.86
flgF,flgBCDEFGHIJ,33.7,53.68
flgG,flgBCDEFGHIJ,21.7,34.55
flgH,flgBCDEFGHIJ,18.23,19.35
flgI,flgBCDEFGHIJ,0,6.16
flgJ,flgBCDEFGHIJ,40.57,50.26
flgK,flgK,41.33,53.48
flgL,flgK,133.55,255.23
flgM,flgAMN,72.22,69.02
flgM,flgMN,72.22,69.02
flgN,flgMN,152.76,389.26
flgN,flgAMN,152.76,389.26
flgN,flgN,152.76,389.26
flhA,flhBAE,16.34,13.01
flhB,flhBAE,3.7,41.2
flhC,flhDC,212.71,525.66
flhC,flhC,212.71,525.66
flhD,flhDC,120.99,192.69
flhE,flhBAE,97.26,68.84
fliA,fliAZY,82.58,103.33
fliC,fliC,414.19,840.35
fliD,fliDST,36.22,43.26
fliE,fliE,13.48,21.47
fliF,fliFGHIJK,12.8,40.77
fliG,fliFGHIJK,25.58,20.37
fliH,fliFGHIJK,24.73,19.69
fliI,fliFGHIJK,18.55,19.69
fliJ,fliFGHIJK,9.56,30.47
fliK,fliFGHIJK,48.94,89.94
fliL,fliLMNOPQR,63.93,174.54
fliM,fliLMNOPQR,67.61,121.14
fliN,fliLMNOPQR,0,0
fliO,fliLMNOPQR,46.41,92.4
fliP,fliLMNOPQR,103.58,82.48
fliQ,fliLMNOPQR,157.29,225.45
fliR,fliLMNOPQR,280.96,172.1
fliS,fliDST,20.67,49.37
fliT,fliDST,58.02,55.44
fliY,fliAZY,74.23,59.11
fliY,fliY,74.23,59.11
fliZ,fliAZY,307.74,330.82
flk,flk,63.96,122.23
flu,flu,196.01,327.33
flxA,flxA,191.3,304.66
fmt,def-fmt,147.83,135.55
fnr,fnr,225.59,161.68
fnrS,fnrS,1496.83,388.07
focA,focA-pflB,89.09,70.95
focB,hyfABCDEFGHIJR-focB,140.06,350.52
folA,folA,230.04,338.17
folB,folB,23.02,18.33
folC,folC-dedD,70.28,111.93
folD,folD-ybcJ,34.29,31.2
folE,folE-yeiB,50.78,90.99
folK,pcnB-folk,26.54,28.18
folM,ydgI-folM,405.3,888.7
folP,folP-glmM,55.02,63.73
folX,folX-yfcH,350.98,894.34
frc,frc,16.97,43.25
frdA,frdABCD,79.82,14.96
frdB,frdABCD,98.23,55.21
frdC,frdABCD,53.62,17.08
frdD,frdD,35.39,37.57
frdD,frdABCD,35.39,37.57
fre,fre,42.35,9.63
frlA,frlABCDR,34.91,70.77
frlB,frlABCDR,53.97,33.06
frlC,frlABCDR,10.22,16.28
frlD,frlABCDR,16.21,0
frlR,frlABCDR,34.81,83.16
frmA,frmRAB,34.43,79.21
frmB,frmRAB,269.88,640.66
frmR,frmRAB,15.39,24.51
frr,frr,175.05,36.36
frsA,frsA,57.99,152.11
fruA,fruBKA,42.67,55.96
fruB,fruBKA,22.53,53.82
fruK,fruBKA,58.8,57.62
fruR,fruR,29.58,13.46
frvA,frvABXR,38,60.52
frvB,frvABXR,17.55,27.95
frvR,frvABXR,36.42,38.67
frvR,frvR,36.42,38.67
frvX,frvABXR,31.72,25.26
frwB,frwCB,52.92,0
frwC,frwCB,7.86,25.05
frwD,frwD,49.67,158.21
fryA,fryA,39.13,92.13
fryA,fryBC-ypdFE-fryA,39.13,92.13
fryB,fryBC-ypdFE-fryA,0,62.05
fryC,fryBC-ypdFE-fryA,13.61,21.68
fsaA,fsaA,96.08,183.62
fsaB,ptsA-fsaB-gldA,51.24,40.81
fsr,fsr,111.3,204.95
ftnA,ftnA,1168.3,1765.57
ftnB,ftnB,101.11,67.1
ftsA,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,73.97,26.78
ftsA,ftsQAZ,73.97,26.78
ftsA,ftsAZ,73.97,26.78
ftsA,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,73.97,26.78
ftsA,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,73.97,26.78
ftsB,ftsB,0,43.36
ftsE,ftsYEX,31.74,90.99
ftsH,rlmE-ftsH,118.52,80.39
ftsH,ftsH,118.52,80.39
ftsI,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,151.41,107.17
ftsI,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,151.41,107.17
ftsI,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,151.41,107.17
ftsK,ftsK,140.5,242.4
ftsL,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,69.62,110.88
ftsL,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,69.62,110.88
ftsL,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,69.62,110.88
ftsP,ftsP,69.13,86.16
ftsQ,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,51.1,8.14
ftsQ,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,51.1,8.14
ftsQ,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,51.1,8.14
ftsQ,ftsQAZ,51.1,8.14
ftsQ,ftsQ,51.1,8.14
ftsW,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,34.11,27.16
ftsW,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,34.11,27.16
ftsW,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,34.11,27.16
ftsX,ftsYEX,60.15,70.25
ftsX,ftsX,60.15,70.25
ftsY,ftsYEX,36.95,49.8
ftsZ,ftsQAZ,81.1,35.23
ftsZ,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,81.1,35.23
ftsZ,ftsAZ,81.1,35.23
ftsZ,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,81.1,35.23
ftsZ,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,81.1,35.23
ftsZ,ftsZ,81.1,35.23
fucA,fucAO,26.21,73.06
fucI,fucPIKUR,31.09,57.12
fucK,fucPIKUR,61.55,79.35
fucO,fucAO,92.4,164.82
fucP,fucPIKUR,128.98,138.66
fucR,fucR,203.06,267.95
fucR,fucPIKUR,203.06,267.95
fucU,fucPIKUR,0,15.99
fumA,fumA,46.41,53.39
fumB,dcuB-fumB,61.88,147.84
fumB,fumB,61.88,147.84
fumC,fumC,139.14,284.22
fur,fur,294.52,15.13
fur,fldA-fur,294.52,15.13
fusA,fusA-tufA,293.16,60.76
fusA,rpsLG-fusA-tufA,293.16,60.76
fxsA,fxsA,124.64,170.15
gabD,gabDTP,29.31,51.34
gabD,csiD-ygaF-gabDTP,29.31,51.34
gabP,gabDTP,45.47,86.9
gabP,csiD-ygaF-gabDTP,45.47,86.9
gabT,csiD-ygaF-gabDTP,56.36,63.36
gabT,gabDTP,56.36,63.36
gadA,gadAX,251.6,91.72
gadB,gadBC,324.35,111.03
gadC,gadBC,201.83,52.84
gadC,gadC,201.83,52.84
gadE,gadE-mdtEF,353.9,25.62
gadE,gadE,353.9,25.62
gadW,gadW,256.32,352.55
gadW,gadXW,256.32,352.55
gadX,gadAX,262.53,65.59
gadX,gadXW,262.53,65.59
gadX,gadX,262.53,65.59
galE,galETKM,41.76,46.55
galF,galF,80.76,121.05
galK,galETKM,114.58,188.36
galM,galETKM,101.99,136.44
galM,galM,101.99,136.44
galP,galP,24.35,38.79
galR,galR,78.19,72.09
galS,galS,44.88,71.47
galT,galETKM,93.29,142.12
galU,galU,126.14,96.73
gapA,gapA-yeaD,409.33,47.53
gapA,gapA,409.33,47.53
gapC_1,gapC_1C_2,2401.3,3655.38
gapC_2,gapC_1C_2,2401.3,3655.38
garD,garD,29.72,51.63
garK,garPLRK-rnpB,11.12,11.8
garL,garPLRK-rnpB,44.07,35.09
garP,garPLRK-rnpB,19.09,15.2
garR,garPLRK-rnpB,28.79,61.14
gatA,gatZABCD,356.25,89.58
gatA,gatYZABCD,356.25,89.58
gatB,gatZABCD,387.43,1851.06
gatB,gatYZABCD,387.43,1851.06
gatC,gatYZABCD,250.55,79.81
gatC,gatZABCD,250.55,79.81
gatD,gatYZABCD,199.9,84.46
gatD,gatZABCD,199.9,84.46
gatR_1,gatR_1,89.41,56.96
gatR_2,gatR_2,89.41,56.96
gatY,gatYZABCD,1405.67,205.67
gatZ,gatYZABCD,527.91,278.46
gatZ,gatZABCD,527.91,278.46
gcd,gcd,40.85,45.26
gcl,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,14.3,15.18
gcp,ygjD,33.51,26.68
gcp,gcp,33.51,26.68
gcvA,gcvA,60.14,125.25
gcvB,gcvB,8699.81,6106.83
gcvH,gcvTHP,141.56,52.03
gcvP,gcvP,42.85,18.83
gcvP,gcvTHP,42.85,18.83
gcvR,gcvR,118.59,129.84
gcvT,gcvTHP,62.05,74.12
gdhA,gdhA,28.44,55.36
gfcA,gfcA,277.57,530.47
gfcB,gfcBCD,32.92,31.46
gfcC,gfcBCD,22.74,18.11
gfcD,gfcD,70.88,170.94
gfcD,gfcBCD,70.88,170.94
gfcE,gfcE-etp-etk,63.33,88.99
ggt,ggt,60.91,58.21
ghrA,ghrA,113.07,216.09
ghrB,ghrB,169.87,242.79
glcA,glcA,37.85,28.13
glcA,glcDEFGBA,37.85,28.13
glcA,glcBA,37.85,28.13
glcB,glcBA,246.36,49.82
glcB,glcDEFGBA,246.36,49.82
glcC,glcC,77.72,114.93
glcD,glcDEFGBA,67.95,27.05
glcE,glcDEFGBA,64.53,38.54
glcF,glcDEFGBA,90.21,127.09
glcG,glcDEFGBA,136.32,33.4
gldA,ptsA-fsaB-gldA,38.47,55.14
gldA,gldA,38.47,55.14
glf,glf-rfc,92.32,36.76
glgA,glgXCAP,35.54,51.88
glgA,glgCAP,35.54,51.88
glgA,glgBXCAP,35.54,51.88
glgA,glgAP,35.54,51.88
glgB,glgBXCAP,36.9,30.93
glgC,glgCAP,45.88,41.75
glgC,glgXCAP,45.88,41.75
glgC,glgBXCAP,45.88,41.75
glgP,glgP,117.97,132.62
glgP,glgCAP,117.97,132.62
glgP,glgBXCAP,117.97,132.62
glgP,glgAP,117.97,132.62
glgP,glgXCAP,117.97,132.62
glgS,glgS,1077.55,1648.81
glgX,glgBXCAP,66.69,78.8
glgX,glgXCAP,66.69,78.8
glk,glk,57.15,140.03
glmM,folP-glmM,34.91,55.6
glmS,glmUS,109.07,99.79
glmS,glmS,109.07,99.79
glmU,glmUS,61.95,54.27
glmY,glmY,2284.98,0
glmZ,glmZ,1259.23,157.29
glnA,glnA,78.31,158.29
glnA,glnALG,78.31,158.29
glnB,glrR-glnB,275.61,259.37
glnB,glnB,275.61,259.37
glnD,glnD,106.45,129.04
glnD,map-glnD-dapD,106.45,129.04
glnE,glnE,19.43,19.05
glnE,ygiF-glnE,19.43,19.05
glnG,glnALG,27.11,33.58
glnG,glnLG,27.11,33.58
glnH,glnHPQ,136.44,36.22
glnK,glnK-amtB,0,0
glnL,glnALG,80.89,103.06
glnL,glnLG,80.89,103.06
glnP,glnHPQ,45.04,61.49
glnQ,glnHPQ,58.74,93.55
glnQ,glnQ,58.74,93.55
glnS,glnS,40.81,109.68
glnU,metT-leuW-glnUW-metU-glnVX,4190.2,3246.47
glnV,metT-leuW-glnUW-metU-glnVX,1755.35,180.36
glnV,glnW-metU-glnVX,1755.35,180.36
glnW,glnW-metU-glnVX,4020.33,6583.12
glnW,metT-leuW-glnUW-metU-glnVX,4020.33,6583.12
glnX,glnW-metU-glnVX,1528.86,270.54
glnX,metT-leuW-glnUW-metU-glnVX,1528.86,270.54
gloA,gloA,52.04,16.58
gloB,gloB,179.76,357.86
glpA,glpABC,5.21,45.67
glpB,glpABC,26.96,21.47
glpC,glpABC,114.1,119.26
glpD,glpD,81.78,71.86
glpE,glpEGR,77.92,82.73
glpF,glpFKX,261.03,247.83
glpG,glpGR,10.22,24.42
glpG,glpEGR,10.22,24.42
glpK,glpFKX,289.88,493.03
glpQ,glpTQ,165.61,370.52
glpR,glpGR,61.55,62.38
glpR,glpEGR,61.55,62.38
glpR,glpR,61.55,62.38
glpT,glpTQ,6.25,19.91
glpX,glpX,25.2,20.07
glpX,glpFKX,25.2,20.07
glrR,glrR-glnB,15.91,50.66
glrR,yfhA,15.91,50.66
gltA,gltA,297.67,94.82
gltB,gltBDF,32.37,66.71
gltD,gltBDF,44.89,66.73
gltF,gltBDF,88.82,35.36
gltI,gltIJKL-sroC,233.6,126.49
gltJ,gltIJKL-sroC,40.12,73.02
gltK,gltIJKL-sroC,25.17,30.06
gltL,gltIJKL-sroC,35.1,46.58
gltP,gltP,16.16,25.74
gltS,gltS,28.17,16.82
gltT,rrsB-gltT-rrlB-rrfB,2961.6,266.98
gltU,rrsC-gltU-rrlC-rrfC,3352.76,266.98
gltV,rrsE-gltV-rrlE-rrfE,2849.84,88.99
gltW,rrsG-gltW-rrlG-rrfG,3743.91,355.97
gltX,gltX,83.98,277.03
glvC,glvCBG-ysdC,60.41,100.39
glvG,glvCBG-ysdC,78.16,91.29
glxK,ybbY-glxK,7.41,11.8
glxK,glxK,7.41,11.8
glxK,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,7.41,11.8
glxR,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,14.49,15.39
glyA,glyA,162.56,215.74
glyQ,glyQS,27.94,14.83
glyS,glyS,36.93,19.6
glyS,glyQS,36.93,19.6
glyT,thrU-tyrU-glyT-thrT-tufB,2151.72,0
glyU,glyU,1492.13,0
glyV,glyVXY,1285.22,0
glyW,glyW-cysT-leuZ,1173.46,0
glyX,glyVXY,782.31,177.99
glyY,glyVXY,782.31,0
gmd,wcaCDEF-gmd-dcI-nudD-wcaI-cspBGJ-wzxC,49.21,72.34
gmhB,gmhB,796.28,998.08
gmk,gmk,360.71,270.97
gmm,wcaCDEF-gmd-dcI-nudD-wcaI-cspBGJ-wzxC,44.24,56.36
gmr,gmr,156.1,217.96
gnd,gnd,81.5,48.07
gnsA,ymcE-gnsA,24.41,0
gnsB,gnsB,219.66,38.87
gntK,gntKU,24.13,76.86
gntK,gntRKU,24.13,76.86
gntP,gntP,75.84,156
gntR,gntRKU,34.11,40.74
gntR,gntR,34.11,40.74
gntT,gntT,177.35,215.69
gntU,gntU,104.51,151.31
gntU,gntKU,104.51,151.31
gntU,gntRKU,104.51,151.31
gntX,gntXY,68.3,88.99
gor,gor,109.86,69.98
gph,dam-rpe-gph-trpS,22.38,17.82
gph,aroKB-damX-dam-rpe-gph-trpS,22.38,17.82
gph,damX-dam-rpe-gph-trpS,22.38,17.82
gph,rpe-gph-trpS,22.38,17.82
gpmA,gpmA,293.27,71.86
gpmM,gpmM-envC-yibQ,32.99,39.4
gpp,gpp,111.53,132.08
gpsA,gpsA,33.31,39.79
gpsA,secB-gpsA,33.31,39.79
gpt,gpt,27.76,0
greA,greA,62.32,70.9
greB,greB,89.03,283.58
groL,groL,415.14,90.34
groL,groSL,415.14,90.34
groS,groSL,274.45,69.02
grpE,grpE,228.79,148.02
grxA,grxA,49.38,52.43
grxB,grxB,301.47,250.5
grxC,grxC,488.72,832.01
grxD,grxD,280.68,252.66
gshA,gshA,109.1,186.79
gshB,rsmE-gshB,142.9,135.13
gsiA,iaaA-gsiABCD,58.98,50.58
gsiB,iaaA-gsiABCD,300.78,202.16
gsiC,iaaA-gsiABCD,46.11,58.75
gsiD,iaaA-gsiABCD,9.31,29.66
gsk,gsk,527.19,699.67
gspA,gspAB,31.78,18.4
gspB,gspAB,0,48.31
gspC,gspCDEFGHIJKLMO,46.84,99.46
gspD,gspCDEFGHIJKLMO,67.41,110.82
gspE,gspCDEFGHIJKLMO,77.37,136.91
gspF,gspCDEFGHIJKLMO,198.68,361.62
gspG,gspCDEFGHIJKLMO,67.87,77.21
gspH,gspCDEFGHIJKLMO,24.98,66.31
gspI,gspCDEFGHIJKLMO,78.64,89.46
gspJ,gspCDEFGHIJKLMO,209.45,322.07
gspK,gspCDEFGHIJKLMO,189.9,460.52
gspL,gspCDEFGHIJKLMO,273.64,441.6
gspM,gspCDEFGHIJKLMO,174.65,204.95
gspO,gspCDEFGHIJKLMO,5956.83,5167.37
gss,gss,93.61,101.82
gst,gst,77.09,44.64
gstB,gstB,298.02,625.65
guaA,guaBA,13.46,30
guaB,guaBA,52.11,87.6
guaC,guaC,20.34,129.57
guaD,xanQ-guaD-ygfQ,157.65,169.09
gudD,gudPXD,6.33,70.61
gudD,gudD,6.33,70.61
gudP,gudPXD,3.14,29.99
gudX,gudPXD,34.84,55.48
gutM,srlAEBD-gutM-srlR-gutQ,117.97,300.6
gutQ,srlAEBD-gutM-srlR-gutQ,114.3,196.04
gyrA,gyrA,66.26,87.5
gyrB,gyrB,77.37,44.81
hcaB,hcaEFCBD,15.67,24.96
hcaC,hcaEFCBD,13.23,42.14
hcaD,hcaEFCBD,98.85,163.04
hcaE,hcaEFCBD,21.83,4.97
hcaF,hcaEFCBD,106.38,78.19
hcaR,hcaR,61.96,83.5
hcaT,hcaT,1758.33,2242.63
hchA,hchA,328.98,142.89
hcp,hcp-hcr,17.98,32.73
hcr,hcr,30.68,55.84
hcr,hcp-hcr,30.68,55.84
hda,hda,78.64,173.42
hdeA,hdeAB-yhiD,5024.77,385.9
hdeB,hdeAB-yhiD,2974.08,310.25
hdeD,hdeD,229.76,141.64
hdfR,hdfR,75.84,152.98
hdhA,hdhA,99.53,105.68
helD,helD,388.52,503.56
hemA,hemA,57.44,80.71
hemA,hemA-prfA-prmC,57.44,80.71
hemB,hemB,30.49,62.43
hemC,hemCDXY,49.59,78.98
hemD,hemCDXY,74.51,82.15
hemE,nudC-hemE-nfi,31.9,63.51
hemF,amiA-hemF,188.75,247.99
hemF,hemF,188.75,247.99
hemG,pepQ-yigZ-trkH-hemG,101.11,222.97
hemH,hemH,57.33,168.56
hemL,hemL,49.73,26.4
hemN,hemN,160.72,383.95
hemX,hemCDXY,79.04,91.55
hemY,hemCDXY,70.96,113.01
hepA,hepA,51.13,90.74
hepA,hepA-rluA,51.13,90.74
hflC,miaA-hfq-hflXKC,207.06,148.06
hflC,yjeFE-amiB-mutL-miaA-hfq-hflXKC,207.06,148.06
hflC,hfq-hflXKC,207.06,148.06
hflC,mutL-miaA-hfq-hflXKC,207.06,148.06
hflC,yjeE-amiB-mutL-miaA-hfq-hflXKC,207.06,148.06
hflD,hflD-purB,59.53,73.75
hflK,miaA-hfq-hflXKC,94.37,48.31
hflK,hfq-hflXKC,94.37,48.31
hflK,mutL-miaA-hfq-hflXKC,94.37,48.31
hflK,yjeFE-amiB-mutL-miaA-hfq-hflXKC,94.37,48.31
hflK,yjeE-amiB-mutL-miaA-hfq-hflXKC,94.37,48.31
hflX,miaA-hfq-hflXKC,62.99,15.84
hflX,hfq-hflXKC,62.99,15.84
