araD,araBAD,85.24,116.61
araE,araE,9.29,23.83
araF,araFGH,19.98,81.98
araG,araFGH,204.51,258.93
araH,araFGH,227.08,308.37
araH,araH,227.08,308.37
araJ,araJ,127.95,165.52
arcA,arcA,27.58,18.87
arcB,arcB,45.13,92.61
arcZ,arcZ,3595.71,2124.07
arfA,arfA,933.13,4632.52
argA,argA,98.98,228.5
argB,argCBH,0,17.41
argC,argCBH,157.42,161.52
argD,argD,107.98,155.1
argE,argE,206,99.81
argF,argF,6.56,20.19
argG,argG,313.91,266.71
argH,argCBH,23.99,14.77
argI,argI,190.22,201.89
argK,scpA-argK-scpBC,26.47,40.74
argO,argO,0,0
argP,argP,191.72,279.92
argQ,argQ,85.61,87.84
argQ,serV-argVYZQ,85.61,87.84
argR,argR,5752.37,6031.12
argS,argS,76.03,66.31
argT,argT-hisJQMP,8.42,17.28
argU,argU,599.28,527.02
argV,serV-argVYZQ,0,87.84
argW,argW,0,90.18
argX,argX-hisR-leuT-proM,0,0
argY,serV-argVYZQ,85.61,0
argZ,serV-argVYZQ,0,0
ariR,ycgZ-ymgA-ariR-ymgC,0,0
ariR,ymgA-ariR,0,0
arnA,arnBCADTEF,43.22,85.27
arnB,arnBCADTEF,75.17,65.26
arnC,arnBCADTEF,40.82,90.74
arnD,arnBCADTEF,36.99,45.55
arnF,arnBCADTEF,3951.87,5784.78
arnT,arnBCADTEF,27.92,61.37
aroA,serC-aroA,10879.1,210.7
aroB,aroKB-damX-dam-rpe-gph-trpS,12.11,37.26
aroC,prmB-aroC-mepA-yfcAML,18.21,31.14
aroD,ydiNB-aroD,8.69,26.73
aroE,yrdD-rimN-aroE-yrdB,32.2,57.81
aroF,aroF-tyrA,49.24,94.73
aroG,aroG,56.34,102.77
aroH,aroH,283.33,264.85
aroK,aroKB-damX-dam-rpe-gph-trpS,0,38.87
aroL,aroL-yaiA-aroM,213.46,450.9
aroM,yaiA-aroM,19.45,89.78
aroM,aroL-yaiA-aroM,19.45,89.78
aroP,aroP,431.8,610.39
arpA,arpA,681.22,668
arpB_1,arpB_1B_2,371.24,113.91
arpB_2,arpB_1B_2,371.24,113.91
arrS,arrS,14712.9,41855.1
arsB,arsRBC,112.42,94.37
arsC,arsRBC,61.9,63.51
arsR,arsRBC,37.24,57.32
artI,artPIQM,27.02,27.72
artJ,artJ,27.02,36.96
artM,artPIQM,19.71,30.33
artP,artPIQM,18.09,120.61
artQ,artPIQM,27.58,18.87
ascB,ascFB,97.15,142.39
ascF,ascFB,18.09,27.83
ascG,ascG,45.64,53.52
asd,asd,53.74,104.15
aslA,aslA,31.85,73.52
aslB,aslB,5.33,21.89
asmA,asmA,46.22,58.37
asnA,asnA,351.85,381.42
asnB,asnB,43.55,24.37
asnC,asnC-mioC-mnmG,28.72,132.62
asnC,asnC-mioC,28.72,132.62
asnC,asnC,28.72,132.62
asnS,asnS,207.03,680.69
asnT,asnT,173.48,1067.92
asnU,asnU,433.69,355.97
asnV,asnV,520.43,1245.9
asnW,asnW,346.95,444.97
aspA,aspA-dcuA,123.86,127.08
aspA,aspA,123.86,127.08
aspC,aspC,83.02,96.54
aspS,aspS,14.87,57.22
aspT,aspT,0,87.84
aspU,aspU,171.22,351.35
aspV,aspV,85.61,175.67
asr,asr,469.34,634.76
astA,astCADBE,12.74,6.53
astB,astCADBE,29.43,20.13
astC,astCADBE,26.99,27.7
astD,astCADBE,17.83,9.15
astE,astE,20.41,20.94
astE,astCADBE,20.41,20.94
atl,ybaZ,760.63,572.29
atoA,atoDAEB,0,10.39
atoB,atoDAEB,50.07,51.37
atoC,atoSC,104.64,82.96
atoD,atoDAEB,99.43,122.42
atoE,atoDAEB,54.81,76.68
atoS,atoSC,202.06,240.63
atpA,atpIBEFHAGDC,76.95,127.2
atpA,atpBEFHAGDC,76.95,127.2
atpB,atpBEFHAGDC,234.28,248.66
atpB,atpIBEFHAGDC,234.28,248.66
atpC,atpC,47.09,80.52
atpC,atpIBEFHAGDC,47.09,80.52
atpC,atpBEFHAGDC,47.09,80.52
atpD,atpIBEFHAGDC,85.8,63.58
